district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27
中和區,房地(土地+建物),新北市中和區民德路271~300號,23.48,住,,,1080418,土地1建物1車位0,一層，平台，騎樓,四層,店面(店鋪),住家用,鋼筋混凝土造,670502,70.78,0,1,0,有,無,11000000,155411,,0,0,含增建或未登記建物。,RPTNMLNKOHOFFHF56CA
中和區,房地(土地+建物)+車位,新北市中和區景平路541~570號,21,住,,,1080512,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080227,188.71,3,2,2,有,有,26000000,154609,坡道平面,33.48,2000000,,RPPPMLMKOHOFFHF88CA
蘆洲區,房地(土地+建物),新北市蘆洲區中興街91~120號,15.72,住,,,1080507,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850508,83.2,2,1,1,有,無,7800000,93750,,0,0,含增建或未登記建物。;,RPUNMLNJPHOFFGF56CA
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區永樂街91~120號,18.89,住,,,1080510,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,861209,180.09,3,2,2,有,有,15000000,83292,坡道平面,0,0,親友、員工或其他特殊關係間之交易。;,RPWOMLLJPHOFFGF66CA
三重區,房地(土地+建物)+車位,新北市三重區重陽路三段5巷1~30號,23.9,住,,,1080519,土地1建物1車位1,十二層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070626,226.57,4,2,2,有,有,29580000,146591,坡道平面,39.11,2100000,,RPWNMLMJPHOFFGF66CA
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區三民路331~360號,18.98,其他,,,1080531,土地1建物1車位1,十八層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040409,175.95,3,2,2,有,有,20700000,117647,坡道平面,26.99,0,,RPXNMLNJPHOFFGF86CA
三重區,房地(土地+建物),新北市三重區仁義街101巷31~60號,31,住,,,1080428,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,581122,83.82,2,1,1,有,無,6900000,82319,,0,0,,RPORMLQLOHOFFGF76CA
三重區,房地(土地+建物),新北市三重區仁義街101巷31~60號,31,住,,,1080428,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,581122,83.82,2,1,1,有,無,6700000,79933,,0,0,含增建或未登記建物。;,SPORMLQLOHOFFGF86CA
三重區,房地(土地+建物),新北市三重區仁義街101巷31~60號,31,住,,,1080428,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,581122,83.82,1,1,1,有,無,8080000,96397,,0,0,,TPORMLQLOHOFFGF96CA
三重區,房地(土地+建物)+車位,新北市三重區進安街31~60號,27.76,住,,,1080507,土地1建物1車位1,一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,951228,172.07,4,2,2,有,有,22800000,132504,坡道平面,37.36,0,,RPOOMLKLOHOFFGF48CA
三重區,房地(土地+建物),新北市三重區成功路91~120號,4.67,商,,,1080513,土地3建物1車位0,二十層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860203,90.24,3,2,2,有,有,8750000,96964,,0,0,,RPQQMLOKOHOFFGF56CA
三重區,土地,頂崁段691~720地號,510,工,,,1071212,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,29230000,57314,,0,0,親友、員工或其他特殊關係間之交易。;,RPRPMLRKOHOFFGF86CA
三重區,土地,頂崁段691~720地號,510,工,,,1071212,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,29230000,57314,,0,0,親友、員工或其他特殊關係間之交易。;,RPSPMLRKOHOFFGF96CA
三重區,房地(土地+建物)+車位,新北市三重區集英路61~90號,23.94,商,,,1080430,土地1建物1車位1,十九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040702,216.69,4,2,2,有,有,28300000,141928,坡道平面,32.09,2100000,,RPQNMLOKOHOFFGF88CA
三重區,房地(土地+建物),新北市三重區仁政街76巷1~30號,22.59,住,,,1080428,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,861014,111,3,2,2,有,無,12000000,108108,,0,0,,RPQNMLNKOHOFFGF78CA
蘆洲區,房地(土地+建物),新北市蘆洲區復興路227巷2弄1~30號,42.68,住,,,1080318,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,781005,128.65,3,2,2,有,無,10200000,79285,,0,0,含增建或未登記建物。;,RPTNMLNKOHOFFGF09CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市五路三段211~240號,8.47,商,,,1080515,土地1建物1車位1,十四層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061229,111.29,2,2,1,有,有,6700000,60203,坡道機械,15.42,0,,RPPNMLQKPHOFFEF88CA
